Hour,Top-Level Project,Duration,Type,Title,Start Date,End Date
03/06/2021 11:00,Modern Political Thought,0:16:49,App Usage,,,
03/06/2021 11:00,Visualization,0:11:05,App Usage,,,
03/06/2021 11:00,Food,0:07:32,Task,(Untitled Task),2021-06-03T11:39:57+03:00,2021-06-03T11:47:29+03:00
03/06/2021 11:00,General Non-Productive,0:00:30,App Usage,,,
03/06/2021 11:00,Photography,0:00:03,App Usage,,,
03/06/2021 12:00,Photography,0:15:34,App Usage,,,
03/06/2021 12:00,Photography,0:10:20,Task,(Untitled Task),2021-06-03T12:46:43+03:00,2021-06-03T12:57:03+03:00
03/06/2021 12:00,Social,0:15:47,Task,(Untitled Task),2021-06-03T12:08:30+03:00,2021-06-03T12:24:17+03:00
03/06/2021 12:00,Visualization,0:13:49,App Usage,,,
03/06/2021 12:00,Modern Political Thought,0:01:46,App Usage,,,
03/06/2021 13:00,Photography,0:06:24,Task,(Untitled Task),2021-06-03T13:04:44+03:00,2021-06-03T13:11:08+03:00
03/06/2021 13:00,Photography,0:15:56,Task,(Untitled Task),2021-06-03T13:27:18+03:00,2021-06-03T13:43:14+03:00
03/06/2021 13:00,Photography,0:33:14,Task,(Untitled Task),2021-06-03T13:55:20+03:00,2021-06-03T14:28:34+03:00
03/06/2021 13:00,Photography,0:00:34,App Usage,,,
03/06/2021 13:00,Visualization,0:18:06,App Usage,,,
03/06/2021 13:00,General Non-Productive,0:03:24,App Usage,,,
03/06/2021 14:00,Social,0:23:20,Task,(Untitled Task),2021-06-03T14:45:38+03:00,2021-06-03T15:08:58+03:00
03/06/2021 14:00,Photography,0:09:26,App Usage,,,
03/06/2021 14:00,Food,0:07:10,Task,(Untitled Task),2021-06-03T14:35:45+03:00,2021-06-03T14:42:55+03:00
03/06/2021 14:00,Visualization,0:00:27,App Usage,,,
03/06/2021 15:00,Photography,0:08:51,Task,(Untitled Task),2021-06-03T15:41:12+03:00,2021-06-03T15:50:03+03:00
03/06/2021 15:00,Photography,1:32:01,Task,(Untitled Task),2021-06-03T15:53:27+03:00,2021-06-03T17:25:28+03:00
03/06/2021 15:00,Photography,0:03:25,App Usage,,,
03/06/2021 15:00,Visualization,0:22:10,App Usage,,,
03/06/2021 15:00,General Non-Productive,0:01:16,App Usage,,,
03/06/2021 17:00,Photography,0:29:56,App Usage,,,
03/06/2021 17:00,Visualization,0:03:15,App Usage,,,
03/06/2021 17:00,General Non-Productive,0:00:30,App Usage,,,
03/06/2021 18:00,Social,4:03:31,Task,(Untitled Task),2021-06-03T18:47:37+03:00,2021-06-03T22:51:08+03:00
03/06/2021 18:00,Photography,0:47:12,App Usage,,,
03/06/2021 18:00,Visualization,0:00:11,App Usage,,,
03/06/2021 22:00,General Non-Productive,0:10:32,App Usage,,,
03/06/2021 22:00,Visualization,0:00:28,App Usage,,,
03/06/2021 22:00,Photography,0:00:04,App Usage,,,
03/06/2021 23:00,Food,0:53:17,Task,(Untitled Task),2021-06-03T23:23:43+03:00,2021-06-04T00:17:00+03:00
03/06/2021 23:00,Watching Movies,0:14:47,Task,(Untitled Task),2021-06-03T23:08:25+03:00,2021-06-03T23:23:12+03:00
03/06/2021 23:00,Watching Movies,0:00:44,App Usage,,,
03/06/2021 23:00,Photography,0:01:54,App Usage,,,
03/06/2021 23:00,General Non-Productive,0:01:05,App Usage,,,
04/06/2021 0:00,General Non-Productive,0:20:17,Task,(Untitled Task),2021-06-04T00:34:39+03:00,2021-06-04T00:54:56+03:00
04/06/2021 0:00,Photography,0:17:53,App Usage,,,
04/06/2021 0:00,Watching Movies,0:02:02,App Usage,,,
04/06/2021 1:00,Sleep,7:20:57,Task,(Untitled Task),2021-06-04T01:28:14+03:00,2021-06-04T08:49:11+03:00
04/06/2021 1:00,Watching Movies,0:27:31,App Usage,,,
04/06/2021 8:00,Watching Movies,0:15:41,App Usage,,,
04/06/2021 9:00,Cleaning,2:33:38,Task,(Untitled Task),2021-06-04T09:28:34+03:00,2021-06-04T12:02:12+03:00
04/06/2021 9:00,Watching Movies,0:23:12,App Usage,,,
04/06/2021 12:00,General Non-Productive,0:01:55,App Usage,,,
04/06/2021 14:00,Photography,0:13:06,App Usage,,,
04/06/2021 14:00,General Non-Productive,0:08:04,App Usage,,,
04/06/2021 15:00,Photography,1:08:16,Task,(Untitled Task),2021-06-04T15:29:22+03:00,2021-06-04T16:37:38+03:00
