,Modern Political Thought,Visualization,Food,General Non-Productive,Photography,Social,Watching Movies,Sleep,Cleaning,Listening to Music,OS,Netflix,Computational Models etc,Guitar,Nintendo Switch,Cinemtography Studies,Script Development,Daydreaming,Long
2021-03-06 11:00:00,16,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 12:00:00,1,13,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 13:00:00,0,18,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 14:00:00,0,0,7,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 15:00:00,0,22,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-03-06 17:00:00,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 18:00:00,0,0,0,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-03-06 22:00:00,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06 23:00:00,0,0,53,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 00:00:00,0,0,0,20,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 01:00:00,0,0,0,0,0,0,27,60,0,0,0,0,0,0,0,0,0,0,7
2021-04-06 08:00:00,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 09:00:00,0,0,0,0,0,0,23,0,60,0,0,0,0,0,0,0,0,0,2
2021-04-06 12:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 14:00:00,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 15:00:00,0,0,0,16,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-06 16:00:00,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-06 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 19:00:00,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-06 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 22:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06 23:00:00,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-05-06 01:00:00,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 04:00:00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 09:00:00,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 11:00:00,15,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 12:00:00,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 13:00:00,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-06 14:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 15:00:00,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-06 17:00:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06 19:00:00,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-06-06 00:00:00,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 09:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 10:00:00,33,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 11:00:00,3,10,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 12:00:00,17,2,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 13:00:00,51,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-06-06 14:00:00,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 15:00:00,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 16:00:00,20,0,0,1,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 17:00:00,23,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 18:00:00,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06 19:00:00,0,0,0,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0
2021-06-06 20:00:00,0,15,0,0,0,70,0,0,0,0,3,0,0,0,0,0,0,0,3
2021-07-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
2021-07-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-06 10:00:00,0,0,0,10,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2021-07-06 11:00:00,6,0,60,13,0,0,0,0,0,0,6,8,0,0,0,0,0,0,1
2021-07-06 13:00:00,0,0,0,18,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2021-07-06 14:00:00,0,0,0,4,11,0,0,0,0,0,15,21,0,0,0,0,0,0,0
2021-07-06 15:00:00,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-07-06 16:00:00,13,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-06 17:00:00,0,0,0,0,0,60,0,0,0,0,7,0,0,0,0,0,0,0,1
2021-07-06 18:00:00,0,0,0,10,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0
2021-07-06 19:00:00,0,0,0,2,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0
2021-07-06 20:00:00,0,0,0,3,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
2021-07-06 21:00:00,0,0,0,26,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2021-07-06 22:00:00,0,0,0,31,17,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2021-07-06 23:00:00,0,0,0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2021-08-06 00:00:00,0,0,0,21,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
2021-08-06 10:00:00,0,0,0,6,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2021-08-06 11:00:00,0,0,0,2,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
2021-08-06 12:00:00,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
2021-08-06 13:00:00,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2021-08-06 14:00:00,0,0,0,0,42,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2021-08-06 15:00:00,0,0,0,0,0,60,0,0,0,0,3,0,0,0,0,0,0,0,2
2021-08-06 17:00:00,0,17,0,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-08-06 18:00:00,0,26,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-06 19:00:00,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-06 20:00:00,0,0,0,3,12,0,0,0,15,1,0,0,0,0,0,0,0,0,0
2021-08-06 21:00:00,0,0,0,13,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-08-06 22:00:00,0,0,28,8,4,27,0,0,0,0,0,7,0,0,0,0,0,0,0
2021-08-06 23:00:00,0,0,0,16,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06 00:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06 10:00:00,0,0,0,1,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2021-09-06 11:00:00,0,0,0,33,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
2021-09-06 12:00:00,0,0,0,2,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0
2021-09-06 13:00:00,0,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
2021-09-06 14:00:00,0,0,0,19,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2021-09-06 15:00:00,0,0,0,9,0,20,0,0,0,1,43,0,0,0,0,0,0,0,0
2021-09-06 16:00:00,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2021-09-06 17:00:00,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0
2021-09-06 18:00:00,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1
2021-09-06 19:00:00,0,0,0,1,0,60,0,0,0,0,28,0,0,0,0,0,0,0,3
2021-09-06 23:00:00,0,0,0,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
2021-10-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
2021-10-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
2021-10-06 10:00:00,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-06 11:00:00,0,0,0,11,2,0,0,0,0,0,20,0,1,0,0,0,0,0,0
